id,osm_id,name,address,lat,lng,image_url,cached_at
4414e7e9-3b8c-4071-833f-bdc419289db2,node/5363906022,Pluck Tea Inc,"89 Research Road, East York",43.7131382,-79.3520848,https://scontent-yyz1-1.xx.fbcdn.net/m1/v/t6/An9GPZ5PsCSapX1kHL9UQ7ncEUP_nVCBL-r7yiM8x1OljFBhauv2jJmMtxoZaeSEOmU1dGhtMQPiLq3G7hhXVhnjGCXQtA0t5OveNfnbJHsvsAgq2PTi7kEP96AXwZJ3FuUtPwwWWEgtrh2oR-7AWg?stp=s2048x1536&edm=AOnQwmMEAAAA&_nc_gid=_uQl9V4Ur8vGhIVZSQPOhA&_nc_oc=Adn0FQNFxm6NtYq6UZlD47Bo8PhrlDU3_sYAk0rS_m1KCyiwKhL84lSe12uQz0PKzJA&ccb=10-5&oh=00_AfyDoLT4LImVkUJdkIv2jrn5pe-b-p0_L0Z0VJsSA2lfMQ&oe=69DE42AA&_nc_sid=201bca,2026-03-15T16:00:29.796138+00:00
1e563598-ad26-43fd-b6e2-034fc6fe83e7,node/5711621727,Presotea,"10 Dundas Street East, Toronto",43.6569085,-79.3809981,,2026-03-15T16:00:29.796138+00:00
27948605-7686-44ac-98a2-d717bdd8b007,node/5986981494,Gong Cha,"Town Centre Court, Scarborough",43.7735463,-79.2559307,https://scontent-yyz1-1.xx.fbcdn.net/m1/v/t6/An8hcI2fsDsJT7I8iAV6-euyMQRba7tRyTDdgypsNLTq4g6962HlqyG-5qEv80zjSJX_mQx_lHiJZ4zeQHSI67TPN7RGIxH_0k3M79iL--Z_q72chVFD4OjF-QArcB-6xlNuIgUrBFtHqqeQFRbwpg?stp=s2048x1536&edm=AOnQwmMEAAAA&_nc_gid=eLFPEIevWdzxaHpIvadqag&_nc_oc=AdmfD5K5P84DOBp-yRa2dRoXXsCjYsd6HO1aMHcULJ2CTuX63MUjC2igh-yyBdEI0Qc&ccb=10-5&oh=00_AfyTNsw6cpk5se1QlvOaHjUZk2LL9mTGCcarAxuXi95T2w&oe=69DE3A3A&_nc_sid=201bca,2026-03-15T16:00:29.796138+00:00
4f4c1405-cff8-4af3-a058-9ebb50a307a4,node/6001296590,Tsaa,"412 Danforth Avenue, Toronto",43.6778196,-79.3513536,https://scontent-yyz1-1.xx.fbcdn.net/m1/v/t6/An97h4TxYw7H_1itV_ZEiMIjOb98PfefClYvW085O5SoLbfajJFz3dWanLuWKpUVPE0gsdq37DhetP9VXZaxHff3RNctUfuztRNOBiSoQG2BOttxgYXmfjGT0WAkcU5WT981YTVmyFBdwMC-PFogwQ?stp=s2048x1536&edm=AOnQwmMEAAAA&_nc_gid=CB5dZf9v6CHo-nTwIuSFTg&_nc_oc=AdmWvRGFk8FDsmb523ROoroJnq2ovYfAEwgnQwTRlVol3ANPUhNVuJdqrb5_wjv5vZA&ccb=10-5&oh=00_Afyjbr7H2cWK8S8JFn-cAr0_PxUWGSpA4X4TlC68VjiUWA&oe=69DE5386&_nc_sid=201bca,2026-03-15T16:00:29.796138+00:00
32a2cc5e-d0fe-4fd4-9320-bc8fd33e0a17,node/6323420469,DavidsTea,"25 The West Mall, Toronto",43.6113535,-79.5575912,,2026-03-15T16:00:29.796138+00:00
c0e6d2d4-d865-4367-8806-48428c4f5f19,node/6543841092,DavidsTea,"1 Promenade Circle, Toronto",43.806082,-79.4525313,https://scontent-yyz1-1.xx.fbcdn.net/m1/v/t6/An8ho88jiIDAMaTXGqjFSnSH1qnmHjwfBx64A4IUc6weDPWcR0zr2QzuAnyHCBaaPybZOjWyezqVI8mWnoWaWad-q1DLXTj_DQz6_NicYE1s7N_q1GPDD9vOAEMFsz1i4Rlmi8cTYFWcVUUX4dhq6A?stp=s2048x1152&edm=AOnQwmMEAAAA&_nc_gid=A4ax-eD1O70jUk39f9UpFQ&_nc_oc=AdnC2AEiJg9F2pI3MdcErPrqPhXAsYxQTmv8ktB88FlJ-mQ2XXCkZD_tkFMdWU_uqkc&ccb=10-5&oh=00_AfziOKuM6T12UV6zatcURgSquvHWM_GfTfv3Pd4ZeFYWiA&oe=69DE48F2&_nc_sid=201bca,2026-03-15T16:00:29.796138+00:00
4681dbcc-c30c-473b-bbd9-e3e92c6d2361,node/6548146793,Tea Shop 168,Toronto,43.7195512,-79.6382041,,2026-03-15T16:00:29.796138+00:00
9d3cfa9c-9585-47cc-8874-18649a85cbaf,node/6589905578,DavidsTea,Toronto,43.7763421,-79.2587587,,2026-03-15T16:00:29.796138+00:00
265d3a60-3dc8-4cc4-aa4b-4314806c0fe6,node/6589930586,Ten Ren's Tea,Toronto,43.776712,-79.2584771,,2026-03-15T16:00:29.796138+00:00
be270ffe-53dc-4920-9ac8-654a326c95c9,node/6710422918,Fresh Tea Shop,Toronto,43.7073708,-79.3992265,https://scontent-yyz1-1.xx.fbcdn.net/m1/v/t6/An_ahVwdpqJuf8Ab_JrXjq4MNqZ-frh7-QdFPuEmxbZwo3yufl6yPJO2YKIPt2WvG_cKzVaTj0F9ZQGFjd82KJKlTRZpz0WcYvXg_z6JsTEnzTvjUIZuSLtCBWIWyaRq2VSSo5sw--KHQzvOZ8dUtps?stp=s2048x1024&edm=AOnQwmMEAAAA&_nc_gid=-92WwkydjXwG22Z6nA44jA&_nc_oc=AdmxxXLy5IwSzvfh6jyfrmyNh76739yjkgtNVH6D8F6E5aA4f3VJcFnwBly4JM8WERE&ccb=10-5&oh=00_Afyeuk0Pqe1EWiUHIoF8eiZi7ejBSUqNQO7XRWghODo53Q&oe=69DE4C5D&_nc_sid=201bca,2026-03-15T16:00:29.796138+00:00
